                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Hamilton_Bank             ,  2010,       128.1,       4.114,        19.9,       57.13
Hamilton_Bank             ,  2011,       132.2,       1.814,        34.7,       43.98
Hamilton_Bank             ,  2012,       114.8,       1.743,        55.4,       67.45
Hamilton_Bank             ,  2013,       126.5,       0.734,        46.7,       23.97
Hamilton_Bank             ,  2014,       144.0,       1.478,        24.9,       25.67
Hamilton_Bank             ,  2015,       138.2,       2.065,        20.1,       28.93
Hamilton_Bank             ,  2016,       133.7,       2.125,        36.1,       53.52
Hamilton_Bank             ,  2017,            ,            ,            ,            
Hibernia                  ,  2003,        52.0,       0.400,       110.5,       30.86
Hibernia                  ,  2004,        78.8,       4.399,        52.2,      160.22
Hibernia                  ,  2005,        94.3,       1.642,        29.5,       33.84
Hibernia                  ,  2006,       105.2,      11.430,        12.6,      100.85
Hibernia                  ,  2007,        83.4,       2.061,        49.4,       71.02
Hibernia                  ,  2008,        98.1,       7.567,        17.9,       94.84
Hibernia                  ,  2009,        74.1,       2.953,        54.1,      111.62
Hibernia                  ,  2010,        71.3,       4.011,        17.0,       47.55
Hibernia                  ,  2011,       102.7,      10.268,        17.2,      123.03
Hibernia                  ,  2012,        92.1,       2.554,        19.9,       35.47
Hibernia                  ,  2013,        70.9,       1.308,        72.3,       66.04
Hibernia                  ,  2014,        96.3,       4.034,        40.1,      113.04
Hibernia                  ,  2015,       122.1,       5.318,        14.3,       53.05
Hibernia                  ,  2016,       102.3,       0.886,        43.6,       26.98
Hibernia                  ,  2017,       111.3,       6.557,        15.4,       70.35
Hudson_Strait             ,  2003,            ,            ,            ,            
Hudson_Strait             ,  2004,       182.4,       0.663,        23.0,       10.64
Hudson_Strait             ,  2005,            ,            ,            ,            
Hudson_Strait             ,  2006,            ,            ,            ,            
Hudson_Strait             ,  2007,            ,            ,            ,            
Hudson_Strait             ,  2008,            ,            ,            ,            
Hudson_Strait             ,  2009,            ,            ,            ,            
Hudson_Strait             ,  2010,       154.5,       0.924,       101.8,       65.72
Hudson_Strait             ,  2011,            ,            ,            ,            
Hudson_Strait             ,  2012,            ,            ,            ,            
Hudson_Strait             ,  2013,       161.3,       0.887,        95.1,       58.86
Hudson_Strait             ,  2014,            ,            ,            ,            
Hudson_Strait             ,  2015,            ,            ,            ,            
Hudson_Strait             ,  2016,       130.1,       1.170,       150.9,      123.34
Hudson_Strait             ,  2017,            ,            ,            ,            
Lurcher_Shoal             ,  2003,        99.7,       1.941,        15.8,       21.41
Lurcher_Shoal             ,  2004,       108.2,       0.947,        16.8,       11.08
Lurcher_Shoal             ,  2005,            ,            ,            ,            
Lurcher_Shoal             ,  2006,        82.4,       1.454,        33.7,       34.19
Lurcher_Shoal             ,  2007,        82.5,       0.876,        33.7,       20.59
Lurcher_Shoal             ,  2008,       113.0,       2.767,        12.5,       24.14
Lurcher_Shoal             ,  2009,        63.5,       0.678,        56.9,       26.94
Lurcher_Shoal             ,  2010,        85.8,       2.659,        14.4,       26.66
Lurcher_Shoal             ,  2011,            ,            ,            ,            
Lurcher_Shoal             ,  2012,            ,            ,            ,            
Lurcher_Shoal             ,  2013,            ,            ,            ,            
Lurcher_Shoal             ,  2014,       108.7,       1.448,        12.6,       12.70
Lurcher_Shoal             ,  2015,            ,            ,            ,            
Lurcher_Shoal             ,  2016,            ,            ,            ,            
Lurcher_Shoal             ,  2017,       110.6,       4.906,        10.8,       36.89
